ra,dec,name,hd,vmag,bv,hex 
85.210833,-1.128889,,37756,4.95,-0.21,#b0c3ff
82.970417,-76.341111,Gam Men,37763,5.19,1.13,#ffe0bc
85.51625,22.660278,,37784,6.36,null,#ffffff
85.273333,0.337778,,37788,5.93,0.3,#f3f2ff
84.912083,-34.074167,Alp Col,37795,2.64,-0.12,#c0cfff
85.191667,-10.409444,,37808,6.52,-0.16,#b9caff
84.9575,-32.629167,,37811,5.45,0.92,#ffe7cc
85.417917,-2.896111,,37904,6.42,0.3,#f3f2ff
84.227917,-66.560278,,37935,6.31,-0.07,#c8d5ff
85.83125,23.204167,,37967,6.21,-0.06,#cad6ff
85.422917,-16.725556,,37971,6.21,-0.13,#beceff
85.619167,1.474722,51 Ori,37984,4.91,1.17,#ffdfb9
83.68625,-73.741389,,37993,5.78,1.71,#ffc682
85.559583,-17.530278,,38054,6.15,1.38,#ffd8aa
85.3625,-33.400556,,38056,6.34,-0.04,#ccd8ff
85.724167,-6.796111,,38089,6.02,0.4,#fef9ff
85.557917,-22.373611,12 Lep,38090,5.87,0.11,#e0e5ff
86.626667,56.115556,26 Cam,38091,5.94,0.17,#e6eaff
85.78875,-1.613056,,38099,6.31,1.47,#ffd5a3
86.475,49.826389,27Omi Aur,38104,5.47,0.03,#d9e1ff
85.548333,-30.535556,,38138,6.19,0.01,#d9e1ff
85.562917,-34.667778,,38170,5.29,-0.05,#ccd8ff
86.45625,40.507222,,38189,6.58,0.25,#eeefff
85.84,-18.5575,,38206,5.73,-0.01,#ccd8ff
87.270417,62.808056,,38284,6.13,null,#ffffff
86.414167,20.695,,38307,6.95,3.03,#fff9ff
86.257917,4.008056,,38309,6.09,0.31,#f4f2ff
86.81125,42.526667,,38358,6.29,1.35,#ffdaad
86.118333,-20.126389,,38382,6.34,0.58,#fff3ec
85.875833,-39.406944,,38385,6.25,0.37,#faf7ff
86.110417,-22.421667,,38392,6.15,0.94,#ffe6ca
86.115833,-22.448333,13Gam Lep,38393,3.6,0.47,#fff8f8
85.92125,-45.833056,,38458,6.39,0.29,#f2f1ff
86.689583,15.8225,129 Tau,38478,6,-0.06,#cad6ff
86.511667,-4.268333,,38495,6.34,1.05,#ffe3c3
86.717083,9.522222,,38527,5.79,0.88,#ffe8cf
86.645833,1.168056,,38529,5.95,0.78,#ffebd8
86.805,14.488333,131 Tau,38545,5.72,0.04,#d9e1ff
86.859167,17.729167,130 Tau,38558,5.49,0.3,#f3f2ff
83.90125,-78.820833,Iot Men,38602,6.05,-0.02,#ccd8ff
87.641667,56.918889,29 Cam,38618,6.54,null,#ffffff
86.92875,13.899722,133 Tau,38622,5.29,-0.17,#b7c9ff
88.23125,68.471389,,38645,6.2,0.95,#ffe6ca
87.29375,39.181111,29Tau Aur,38656,4.52,0.94,#ffe6ca
86.499583,-32.306389,Mu Col,38666,5.17,-0.28,#a5bbff
87.093333,20.869444,,38670,6.07,-0.08,#c7d4ff
86.73875,-14.821944,14Zet Lep,38678,3.55,0.1,#dfe5ff
87.000833,6.454167,52 Ori,38710,5.27,0.23,#ecedff
86.781667,-16.237778,,38713,6.17,0.89,#ffe8ce
86.86125,-10.533056,,38735,6.03,0.16,#e5e9ff
87.254167,24.5675,132 Tau,38751,4.86,1.01,#ffe4c5
87.735,51.514722,,38765,6.29,1.05,#ffe3c3
86.939167,-9.669722,53Kap Ori,38771,2.06,-0.17,#b7c9ff
86.769583,-28.639167,,38804,6.22,-0.15,#bbccff
88.0725,58.964167,30 Cam,38831,6.14,-0.04,#ccd8ff
87.145417,-4.094722,,38858,5.97,0.64,#fff1e6
86.614167,-46.597222,,38871,5.31,1.04,#ffe3c3
86.8275,-35.674722,,38885,6.32,1.18,#ffdfb9
87.387083,12.651111,134 Tau,38899,4.91,-0.07,#c8d5ff
87.76,37.305556,31Ups Aur,38944,4.74,1.62,#ffce93
87.8725,39.148611,32Nu Aur,39003,3.97,1.13,#ffe0bc
87.742083,27.967778,,39004,5.56,0.97,#ffe5c8
87.510833,9.871111,,39007,5.8,0.87,#ffe8d0
86.193333,-65.735556,Del Dor,39014,4.35,0.21,#eaecff
87.620417,14.305556,135 Tau,39019,5.52,1.01,#ffe4c5
86.992083,-40.6525,,39040,6.61,1.12,#ffe1bd
87.857083,32.125,,39045,6.25,1.75,#ffc178
87.554583,4.423333,,39051,5.97,1.36,#ffd9ac
86.82125,-51.066389,Bet Pic,39060,3.85,0.17,#e6eaff
87.402083,-14.483611,,39070,5.49,0.88,#ffe8cf
84.290833,-80.469167,Pi Men,39091,5.65,0.6,#fff3ea
86.804167,-54.360833,,39110,6.18,1.4,#ffd8a9
87.625,2.024444,,39118,5.98,0.91,#ffe7cd
88.164583,39.574444,,39182,6.45,0.09,#dee4ff
87.472917,-22.971667,,39190,5.87,0.06,#dbe2ff
88.740833,59.888333,31 Cam,39220,5.2,0.02,#d9e1ff
88.167083,33.9175,,39225,5.98,1.6,#ffd096
88.711667,55.706944,30Xi Aur,39283,4.99,0.05,#dae2ff
88.0975,19.868056,,39286,6.06,0.54,#fff5f0
87.841667,-7.518056,55 Ori,39291,5.35,-0.2,#b2c5ff
87.392083,-44.875278,,39312,6.38,1.27,#ffdcb2
88.092917,14.171667,137 Tau,39317,5.59,-0.05,#ccd8ff
88.331667,27.612222,136 Tau,39357,4.58,-0.02,#ccd8ff
87.830417,-20.879167,15Del Lep,39364,3.81,0.99,#ffe5c6
87.869167,-22.926111,,39385,6.17,1.02,#ffe4c4
88.11,1.855,56 Ori,39400,4.78,1.38,#ffd8aa
88.329583,20.299167,,39417,6.71,-0.07,#c8d5ff
88.031667,-9.041389,,39421,5.97,0.1,#dfe5ff
87.74,-35.768333,Bet Col,39425,3.12,1.16,#ffdfba
89.395833,66.096111,,39429,6.25,1.36,#ffd9ac
87.457083,-56.166667,Gam Pic,39523,4.51,1.1,#ffe2bf
87.997917,-29.448611,,39543,6.45,1.48,#ffd5a2
87.619167,-52.767778,,39547,6.35,0.76,#ffecda
89.06,51.803889,,39551,6.49,null,#ffffff
88.745833,31.701667,,39586,5.9,0.14,#e3e8ff
88.595417,20.276111,54Chi1Ori,39587,4.41,0.59,#fff3eb
88.555833,10.586944,,39632,6.12,1.47,#ffd5a3
87.721667,-52.108889,,39640,5.17,0.99,#ffe5c6
88.634167,11.7625,,39662,6.59,0.03,#d9e1ff
88.565417,3.225278,,39685,6.31,1.29,#ffdbb0
88.73625,19.749722,57 Ori,39698,5.92,-0.17,#b7c9ff
88.138333,-37.631111,,39720,5.63,1.04,#ffe3c3
89.270417,49.029444,,39743,6.47,0.99,#ffe5c6
88.19875,-38.525833,,39752,6.7,1.08,#ffe2c0
88.27875,-33.801389,Lam Col,39764,4.87,-0.15,#bbccff
88.68375,0.968333,,39775,6,1.34,#ffdaad
88.644583,-4.063889,,39777,6.57,-0.18,#b5c7ff
82.557917,-84.785,,39780,6.2,-0.02,#ccd8ff
88.489167,-19.638333,,39789,6.69,0.1,#dfe5ff
88.792917,7.406944,58Alp Ori,39801,0.5,1.85,#ffa94b
86.950417,-72.702222,Lam Men,39810,6.53,1.08,#ffe2c0
88.955417,20.175,,39816,5.4,0.99,#ffe5c6
87.473333,-66.901111,Eps Dor,39844,5.11,-0.14,#bccdff
88.681667,-11.773889,,39853,5.66,1.53,#ffd39e
89.140833,28.942222,,39866,6.32,0.3,#f3f2ff
89.014583,13.925278,,39881,6.6,0.65,#fff1e5
88.55875,-29.147778,,39891,6.36,0.37,#faf7ff
88.345417,-42.921389,,39901,6.55,1.37,#ffd9ab
88.87625,-4.616389,,39910,5.87,1.18,#ffdfb9
88.8975,-4.788333,,39927,6.28,0.06,#dbe2ff
88.084583,-57.156111,,39937,5.94,0.66,#fff0e4
87.845833,-64.033611,,39963,6.36,0.86,#ffe8d1
89.23375,24.249722,,39970,6.02,0.39,#fcf8ff
89.116667,9.509722,,39985,5.99,-0.07,#c8d5ff
89.20625,11.521111,,40020,5.87,1.1,#ffe2bf
89.881667,54.284722,33Del Aur,40035,3.72,1,#ffe5c6
91.28875,75.585833,,40055,6.4,null,#ffffff
89.940417,55.320833,,40062,6.44,0.31,#f4f2ff
89.950417,54.547222,,40083,6.14,1.2,#ffdfb8
89.840833,49.924444,,40084,5.89,1.23,#ffddb5
88.71875,-39.958056,,40091,5.57,1.51,#ffd4a0
88.544583,-50.361944,,40105,6.52,0.9,#ffe8ce
89.49875,25.953889,139 Tau,40111,4.82,-0.06,#cad6ff
89.10125,-14.167778,16Eta Lep,40136,3.71,0.33,#f6f4ff
89.059583,-22.840278,,40151,5.96,1.11,#ffe1be
88.874583,-37.120833,Xi Col,40176,4.97,1.11,#ffe1be
89.882083,44.9475,34Bet Aur,40183,1.9,0.03,#d9e1ff
88.67125,-49.626944,,40200,6.1,-0.13,#beceff
89.14375,-23.215556,,40235,6.36,1.07,#ffe2c1
89.98375,45.936944,35Pi Aur,40239,4.26,1.72,#ffc57f
89.087083,-31.3825,Sig Col,40248,5.5,null,#ffffff
89.475833,1.224444,,40282,6.22,1.48,#ffd5a2
88.709167,-52.635278,,40292,5.29,0.31,#f4f2ff
89.930417,37.2125,37The Aur,40312,2.62,-0.08,#c7d4ff
90.079167,44.591944,,40325,6.22,null,#ffffff
89.54875,-0.994167,,40347,6.22,1.14,#ffe0bb
89.204167,-31.976111,,40359,6.44,1.07,#ffe2c1
89.721667,12.808611,,40369,5.7,0.89,#ffe8ce
89.601667,1.836944,59 Ori,40372,5.9,0.21,#eaecff
90.244167,47.901944,36 Aur,40394,5.73,-0.01,#ccd8ff
88.525417,-63.09,,40409,4.65,1.05,#ffe3c3
89.706667,0.553056,60 Ori,40446,5.22,0.01,#d9e1ff
88.549583,-64.482222,,40455,6.63,0.38,#fbf7ff
90.429583,48.959444,,40486,5.96,1.45,#ffd6a5
89.384167,-35.283333,Gam Col,40494,4.36,-0.18,#b5c7ff
89.754167,-9.382222,1 Mon,40535,6.12,0.29,#f2f1ff
89.767917,-9.558333,2 Mon,40536,5.03,0.19,#e8ebff
89.907083,-1.444444,,40574,6.63,-0.07,#c8d5ff
90.2925,31.034722,,40588,5.98,0.08,#dde3ff
90.251667,27.572222,,40589,6.05,0.25,#eeefff
90.702917,49.905556,,40626,6.05,-0.06,#cad6ff
90.014167,-3.074167,,40657,4.53,1.22,#ffdeb6
89.31,-53.426111,,40665,6.45,1.48,#ffd5a2
90.723333,43.378611,,40722,6.42,null,#ffffff
90.423333,22.400833,,40724,6.37,-0.07,#c8d5ff
89.656667,-44.034444,,40733,5.81,1.07,#ffe2c1
90.07375,-12.899722,,40745,6.22,0.36,#f9f6ff
90.825,42.911667,38 Aur,40801,6.1,0.97,#ffe5c8
89.786667,-42.815278,Eta Col,40808,3.96,1.14,#ffe0bb
91.284583,59.393056,,40827,6.34,1.1,#ffe2bf
90.729583,32.635833,,40832,6.24,0.42,#fef9fd
91.12125,51.573333,,40873,6.45,0.18,#e7eaff
90.595833,9.6475,61Mu Ori,40932,4.12,0.16,#e5e9ff
87.569583,-79.361389,Kap Men,40953,5.47,-0.08,#c7d4ff
91.663333,63.453611,,40956,6.39,null,#ffffff
90.57125,1.694444,,40964,6.59,-0.05,#ccd8ff
90.46,-10.598056,3 Mon,40967,4.95,-0.12,#c0cfff
90.304583,-25.417778,,40972,6.05,0.02,#d9e1ff
90.86375,19.690556,64 Ori,41040,5.14,-0.11,#c2d0ff
90.318333,-33.911667,,41047,5.55,1.58,#ffd098
91.264167,42.981667,39 Aur,41074,5.87,0.3,#f3f2ff
90.852917,11.680833,,41076,6.08,-0.04,#ccd8ff
91.03,23.263333,1 Gem,41116,4.16,0.82,#ffead4
90.98,20.138333,62Chi2Ori,41117,4.63,0.28,#f1f0ff
90.640833,-14.497222,,41125,6.2,0.96,#ffe5c9
91.260833,37.964167,,41162,6.34,null,#ffffff
90.205,-51.216389,,41214,5.67,0.2,#e9ecff
91.391667,33.599167,,41269,6.23,-0.08,#c7d4ff
90.814583,-26.284444,,41312,5.04,1.34,#ffdaad
91.535417,35.3875,,41330,6.12,0.6,#fff3ea
91.05625,-6.709167,,41335,5.21,-0.06,#cad6ff
91.64625,38.482778,40 Aur,41357,5.36,0.25,#eeefff
91.2425,5.42,63 Ori,41361,5.67,1.04,#ffe3c3
91.243333,4.158611,66 Ori,41380,5.63,1.04,#ffe3c3
91.59375,29.5125,,41429,6.08,1.73,#ffc37d
91.862083,41.854167,,41467,6.12,1.22,#ffdeb6
91.24625,-16.484444,17 Lep,41511,4.93,0.24,#edeeff
91.084583,-32.1725,,41534,5.65,-0.19,#b3c6ff
91.3625,-10.242778,,41547,5.87,0.37,#faf7ff
90.538333,-60.096944,,41586,6.45,1.58,#ffd098
92.49625,58.935833,37 Cam,41597,5.36,1.09,#ffe2bf
92.095833,41.055556,,41636,6.36,1.05,#ffe3c3
91.66125,-4.193889,,41692,5.38,-0.13,#beceff
91.53875,-14.935278,18The Lep,41695,4.67,0.05,#dae2ff
91.440417,-24.195556,,41698,6.95,1.63,#ffcd91
91.118333,-45.036667,,41700,6.35,0.52,#fff6f2
91.1675,-45.078889,,41742,5.93,0.49,#fff7f6
91.892917,14.768333,67Nu Ori,41753,4.42,-0.17,#b7c9ff
91.362917,-35.513611,,41759,5.8,0.02,#d9e1ff
91.71625,-11.173611,,41814,6.66,-0.15,#bbccff
91.195417,-48.458611,,41824,6.58,0.72,#ffeede
91.633333,-23.110556,,41841,5.47,0.08,#dde3ff
91.522917,-29.758611,,41843,5.81,0.05,#dae2ff
93.212917,65.718333,36 Cam,41927,5.32,1.34,#ffdaad
91.74,-21.812778,,41933,5.78,1.64,#ffcc90
92.196667,8.67,,42035,6.55,-0.07,#c8d5ff
91.923333,-19.165833,19 Lep,42042,5.31,1.68,#ffc989
92.385,22.19,,42049,5.93,1.63,#ffcd91
91.765417,-34.311944,,42054,5.83,-0.13,#beceff
91.670833,-42.298611,Pi 1Col,42078,6.12,0.25,#eeefff
92.941667,52.647222,,42083,6.3,0.14,#e3e8ff
92.433333,23.113333,3 Gem,42087,5.75,0.21,#eaecff
92.24125,2.499444,,42111,5.73,0.07,#dce3ff
92.902083,48.713056,41 Aur,42126,6.82,null,#ffffff
92.9025,48.711111,41 Aur,42127,6.09,0.1,#dfe5ff
91.881667,-37.253056,The Col,42167,5.02,-0.11,#c2d0ff
91.757917,-45.091389,,42168,6.51,1.16,#ffdfba
92.400833,-5.711111,,42278,6.17,0.34,#f7f5ff
92.24125,-22.4275,,42301,5.5,-0.01,#ccd8ff
91.970417,-42.153889,Pi 2Col,42303,5.5,0,#ffffff
92.334583,-18.126111,,42327,6.35,-0.03,#ccd8ff
92.392917,-14.584167,,42341,5.56,1.16,#ffdfba
92.7575,18.129444,,42351,6.33,1.35,#ffdaad
92.884583,24.420278,5 Gem,42398,5.8,1.11,#ffe1be
92.449583,-22.774167,,42443,5.71,0.44,#fef9fb
92.144167,-44.356111,,42448,6.27,-0.15,#bbccff
93.43875,51.1725,,42466,6.04,1.06,#ffe2c2
93.08375,32.693333,,42471,5.78,1.66,#ffcb8d
92.964167,21.868611,,42475,6.56,2.25,#fff9ff
92.86625,13.638611,,42477,6.04,0,#ffffff
92.446667,-26.700833,,42486,6.27,1.01,#ffe4c5
93.005417,19.790556,68 Ori,42509,5.75,-0.07,#c8d5ff
91.539167,-66.039722,Eta1Dor,42525,5.71,-0.03,#ccd8ff
92.755417,-6.754167,,42536,6.15,0.01,#d9e1ff
91.764167,-62.154722,,42540,5.05,1.25,#ffddb4
93.079583,22.908333,6 Gem,42543,6.39,2.24,#fff9ff
93.01375,16.130556,69 Ori,42545,4.95,-0.14,#bccdff
92.985,14.208889,70Xi Ori,42560,4.48,-0.18,#b5c7ff
92.644167,-27.154167,,42621,5.72,1.07,#ffe2c1
93.919167,59.999167,40 Cam,42633,5.35,1.34,#ffdaad
92.932083,-4.665556,,42657,6.18,-0.08,#c7d4ff
92.542917,-40.353611,,42682,5.58,1.68,#ffc989
92.347083,-49.562778,,42683,6.49,0.52,#fff6f2
92.965833,-6.550278,,42690,5.05,-0.2,#b2c5ff
92.80625,-26.482222,,42729,6.09,-0.04,#ccd8ff
93.389167,18.680278,,42784,6.58,-0.08,#c7d4ff
93.3025,10.6275,,42807,6.45,0.67,#fff0e3
94.711667,69.319722,,42818,4.8,0.03,#d9e1ff
93.185,-2.504444,,42824,6.62,0.05,#dae2ff
92.66625,-45.281944,,42834,6.31,-0.03,#ccd8ff
92.574583,-54.968611,Del Pic,42933,4.81,-0.23,#adc1ff
93.192917,-17.763056,,42927,6.52,-0.17,#b7c9ff
93.619167,17.906389,,42954,5.88,0.22,#ebedff
94.478333,61.515278,1 Lyn,42973,4.98,1.83,#ffae55
93.719167,22.506667,7Eta Gem,42995,3.28,1.6,#ffd096
93.9125,36.148611,,43017,6.92,0.45,#fff9fb
93.47625,-3.741389,,43023,5.83,0.94,#ffe6ca
93.844583,29.498056,44Kap Aur,43039,4.35,1.02,#ffe4c4
93.712083,19.156389,71 Ori,43042,5.2,0.44,#fef9fb
92.184167,-68.843333,Nu Dor,43107,5.06,-0.08,#c7d4ff
93.785417,13.851111,,43112,5.91,-0.23,#adc1ff
93.854583,16.143056,72 Ori,43153,5.3,-0.14,#bccdff
93.652917,-4.568333,,43157,5.83,-0.17,#b7c9ff
93.437917,-23.861944,,43162,6.39,0.72,#ffeede
93.38875,-29.396111,,43179,6.54,-0.1,#c4d2ff
93.71375,-6.274722,5Gam Mon,43232,3.98,1.32,#ffdaae
94.394583,46.424167,42 Aur,43244,6.52,0.27,#f0f0ff
93.9375,12.551111,73 Ori,43247,5.33,-0.02,#ccd8ff
94.079167,23.97,8 Gem,43261,6.08,0.9,#ffe8ce
93.917083,6.066111,,43285,6.07,-0.13,#beceff
93.945833,4.283611,,43317,6.64,-0.17,#b7c9ff
93.892917,-0.512222,,43318,5.65,0.5,#fff7f5
93.87375,-4.915278,,43319,5.99,0.09,#dee4ff
94.099167,17.181389,,43335,6.39,1.58,#ffd098
93.975,1.169167,,43358,6.37,0.46,#fff8f9
93.858333,-9.035278,,43362,6.1,-0.08,#c7d4ff
94.905833,59.010833,2 Lyn,43378,4.48,0.01,#d9e1ff
94.570417,46.360556,43 Aur,43380,6.38,1.11,#ffe1be
94.244583,23.740833,9 Gem,43384,6.25,0.45,#fff9fb
94.110833,12.272222,74 Ori,43386,5.04,0.42,#fef9fd
93.785,-20.272222,,43396,5.91,1.32,#ffdaae
93.822917,-18.476667,,43429,5.99,1.06,#ffe2c2
93.937083,-13.718333,,43445,5.01,-0.08,#c7d4ff
92.8125,-65.589444,Eta2Dor,43455,5.01,1.62,#ffce93
94.088333,1.080278,,43461,6.63,-0.05,#ccd8ff
94.2775,9.9425,75 Ori,43525,5.39,0.1,#dfe5ff
94.243333,7.053056,,43526,6.57,-0.12,#c0cfff
94.032083,-16.617778,,43544,5.92,-0.17,#b7c9ff
94.38875,14.058333,,43583,6.59,-0.03,#ccd8ff
94.317083,5.100278,,43587,5.71,0.61,#fff2e9
93.988333,-29.788333,,43636,6.67,1.55,#ffd29c
94.523333,14.382778,,43683,6.16,0.01,#d9e1ff
94.264583,-22.715,,43745,6.07,0.56,#fff4ee
94.396667,-10.725278,6 Mon,43760,6.75,0.35,#f8f6ff
94.137917,-35.140556,Kap Col,43785,4.37,1,#ffe5c6
95.515,59.372222,4 Lyn,43812,5.94,null,#ffffff
94.7575,17.325,,43819,6.32,-0.07,#c8d5ff
94.66875,9.047222,,43821,6.24,0.87,#ffe8d0
94.42375,-16.815833,,43827,5.14,1.3,#ffdbb0
92.56,-74.753056,Alp Men,43834,5.09,0.72,#ffeede
94.148333,-39.264444,,43847,6,0.16,#e5e9ff
94.255,-37.7375,,43899,5.53,1.14,#ffe0bb
95.442083,53.452222,45 Aur,43905,5.36,0.43,#fef9fc
94.289583,-37.253056,,43940,5.87,0.14,#e3e8ff
94.557083,-19.966944,,43955,5.52,-0.18,#b5c7ff
94.710833,-9.390278,,43993,5.36,1.24,#ffddb4
94.703333,-15.024722,,44021,6.06,1.66,#ffcb8d
95.0175,14.651111,,44033,5.69,1.61,#ffcf94
94.782917,-8.586389,,44037,6.22,-0.04,#ccd8ff
94.745833,-20.926111,,44081,5.81,-0.15,#bbccff
95.300417,29.541111,,44092,6.43,0.06,#dbe2ff
94.928333,-7.823056,7 Mon,44112,5.27,-0.19,#b3c6ff
94.077083,-59.213611,,44120,6.43,0.59,#fff3eb
94.998333,-2.944444,,44131,4.9,1.6,#ffd096
95.217917,11.756389,,44173,6.54,-0.1,#c4d2ff
95.357917,17.763611,,44234,6.35,null,#ffffff
94.465417,-52.733056,,44267,6.41,1.46,#ffd5a4
94.920833,-34.396667,,44323,5.78,-0.08,#c7d4ff
95.3575,2.268611,,44333,6.31,0.24,#edeeff
95.078333,-30.063333,1Zet CMa,44402,3.02,-0.19,#b3c6ff
93.774583,-71.702778,,44447,6.64,0.56,#fff4ee
95.352917,-11.773333,,44458,5.64,-0.02,#ccd8ff
97.060833,70.535556,,44472,5.97,null,#ffffff
95.74,22.513611,13Mu Gem,44478,2.88,1.64,#ffcc90
95.652083,12.57,,44497,6,null,#ffffff
95.15125,-34.143889,,44506,5.53,-0.19,#b3c6ff
96.224583,49.288056,46Psi1Aur,44537,4.91,1.97,#ff6a66
95.025417,-48.741111,,44594,6.6,0.66,#fff0e4
96.6075,56.285,,44691,5.64,0.24,#edeeff
95.827083,3.764444,,44700,6.4,-0.15,#bbccff
96.70375,58.417222,5 Lyn,44708,5.21,1.53,#ffd39e
95.675,-17.955833,2Bet CMa,44743,1.98,-0.23,#adc1ff
95.844583,-4.687222,,44756,6.67,0.06,#dbe2ff
95.528333,-33.436389,Del Col,44762,3.85,0.88,#ffe8cf
96.219167,29.707222,,44766,6.71,-0.06,#cad6ff
95.942083,4.592778,8Eps Mon,44769,4.44,0.18,#e7eaff
95.94375,4.595556,,44770,6.72,0.45,#fff9fb
96.009583,8.884722,,44783,6.26,-0.08,#c7d4ff
95.9,-9.874444,,44816,6.19,1.84,#ffab50
96.220417,16.056944,,44867,6.33,1.08,#ffe2c0
95.941667,-15.071667,,44891,6.24,1.53,#ffd39e
96.387083,23.326944,,44927,6.06,-0.03,#ccd8ff
96.042917,-11.530278,,44951,5.22,1.24,#ffddb4
95.948333,-19.785278,,44953,6.6,-0.15,#bbccff
95.81,-31.79,,44956,6.34,0.89,#ffe8ce
96.367083,14.721944,,44984,6.24,2.34,#fff9ff
96.085417,-12.9625,,44996,6.12,-0.08,#c7d4ff
96.304583,7.085833,,44990,5.98,1.22,#ffdeb6
95.982917,-25.577778,,45018,5.63,1.56,#ffd19a
96.326667,1.501111,,45050,6.66,-0.04,#ccd8ff
96.318333,-0.946111,,45067,5.87,0.56,#fff4ee
96.962917,47.405278,,45105,6.56,-0.04,#ccd8ff
96.444167,2.272222,,45137,6.51,-0.03,#ccd8ff
96.004167,-36.707778,,45145,5.62,1.04,#ffe3c3
96.44625,-3.889167,,45168,6.35,1.02,#ffe4c4
96.182917,-28.78,,45184,6.39,0.62,#fff2e8
96.897917,32.563056,,45192,6.43,1.26,#ffdcb3
95.7325,-56.37,Nu Pic,45229,5.61,0.24,#edeeff
96.495,-7.894167,,45239,6.4,0.14,#e3e8ff
95.907083,-52.181111,,45291,5.98,1.04,#ffe3c3
96.185417,-40.284167,,45306,6.31,-0.05,#ccd8ff
96.665,-1.507222,,45320,5.87,0.08,#dde3ff
96.64375,-4.597222,,45321,6.15,-0.14,#bccdff
95.987917,-52.695833,Alp Car,45348,-0.72,0.15,#e4e9ff
96.744583,0.840833,,45357,6.71,0.04,#d9e1ff
96.687083,-7.511389,,45380,6.27,-0.04,#ccd8ff
96.374583,-35.063889,,45383,6.25,1.36,#ffd9ac
96.985833,20.496111,16 Gem,45394,6.22,0.01,#d9e1ff
97.696667,58.162778,6 Lyn,45410,5.88,0.94,#ffe6ca
97.142083,30.493056,48 Aur,45412,5.55,0.68,#ffefe2
96.835,2.908056,,45415,5.55,1.04,#ffe3c3
96.8075,0.299167,,45416,5.2,1.18,#ffdfb9
96.815,-0.276111,,45433,5.55,1.38,#ffd8aa
95.945417,-58.543889,,45450,6.48,0.12,#e1e6ff
95.755417,-63.683056,,45461,6.27,1.6,#ffd096
97.5125,46.685556,47 Aur,45466,5.9,1.44,#ffd6a5
97.235833,26.967778,,45504,6.47,null,#ffffff
97.116667,16.238333,,45506,6.23,0.9,#ffe8ce
96.200833,-52.806389,,45509,6.51,1.7,#ffc885
97.078333,10.303889,,45512,6.15,1.15,#ffe0bb
97.240833,20.212222,18Nu Gem,45542,4.15,-0.13,#beceff
96.99,-4.762222,10 Mon,45546,5.06,-0.17,#b7c9ff
96.057083,-60.281111,,45557,5.8,0,#ffffff
100.07,79.599444,,45560,6.54,null,#ffffff
97.07,1.912222,,45563,6.48,-0.07,#c8d5ff
96.431667,-48.177222,,45572,5.76,-0.06,#cad6ff
96.796667,-25.856667,,45588,6.07,0.53,#fff5f1
101.125833,82.115278,,45618,6.65,0.17,#e6eaff
97.25,11.019444,,45638,6.59,null,#ffffff
95.659167,-69.984167,Pi 1Dor,45669,5.56,1.51,#ffd4a0
96.78125,-37.895556,,45680,6.48,0.39,#fcf8ff
96.109583,-63.428889,,45701,6.46,0.66,#fff0e4
97.312083,2.646111,,45724,6.16,1.54,#ffd29d
97.204167,-7.032778,11Bet Mon,45725,4.6,-0.1,#c4d2ff
97.20625,-7.034444,11Bet Mon,45726,5.4,-0.07,#c8d5ff
97.20625,-7.034444,11Bet Mon,45727,5.6,null,#ffffff
97.155417,-17.466111,,45765,5.77,1.12,#ffe1bd
96.231667,-63.827778,,45796,6.27,-0.13,#beceff
97.042083,-32.58,Lam CMa,45813,4.48,-0.17,#b7c9ff
97.522917,9.029167,,45827,6.57,0.14,#e3e8ff
100.12,77.995833,,45866,5.73,1.47,#ffd5a3
97.163333,-32.371111,,45871,5.74,-0.17,#b7c9ff
99.47875,73.695556,,45947,6.24,0.38,#fbf7ff
97.792083,16.938611,,45951,6.2,1.16,#ffdfba
97.547083,-10.081389,,45976,5.93,1.38,#ffd8aa
97.17625,-41.074444,,45983,6.32,0.4,#fef9ff
96.766667,-58.002222,,45984,5.82,1.28,#ffdbb1
97.789583,11.250833,,45995,6.14,-0.08,#c7d4ff
97.905833,15.903333,19 Gem,46031,6.4,null,#ffffff
98.113333,32.454722,,46052,5.87,0.14,#e3e8ff
97.644583,-13.148056,,46064,6.16,-0.15,#bbccff
97.913333,11.792222,,46075,6.65,-0.12,#c0cfff
97.95125,11.544444,,46089,5.23,0.15,#e4e9ff
98.636667,55.353056,7 Lyn,46101,6.45,null,#ffffff
96.369167,-69.690278,Pi 2Dor,46116,5.38,0.97,#ffe5c8
98.097083,11.673611,,46178,6.03,1.07,#ffe2c1
97.845833,-12.391667,,46184,5.15,1.27,#ffdcb2
97.692917,-27.769444,,46189,5.93,-0.15,#bbccff
97.95875,-8.158056,,46229,5.43,1.38,#ffd8aa
98.08,4.855833,12 Mon,46241,5.84,0.99,#ffe5c6
98.427917,33.024167,,46251,6.42,0.03,#d9e1ff
97.454583,-50.239167,,46273,5.27,0.41,#fef9fe
98.225833,7.333056,13 Mon,46300,4.5,0,#ffffff
98.09625,-5.868889,,46304,5.6,0.25,#eeefff
97.96375,-23.418333,4Xi 1CMa,46328,4.33,-0.24,#abc0ff
97.804167,-35.259167,,46349,5.84,0.81,#ffead5
97.36875,-56.852778,,46355,5.22,1.09,#ffe2bf
97.749167,-40.916389,,46365,6.2,1.4,#ffd8a9
98.400417,14.155278,,46374,5.53,1.11,#ffe1be
98.195417,-11.166389,,46407,6.24,1.11,#ffe1be
97.895833,-36.94,,46431,6.34,1.63,#ffcd91
99.4225,61.481111,8 Lyn,46480,5.94,0.89,#ffe8ce
