ra,dec,Name,HD,Vmag,bv
007.582917,+59.977222,          ,  2626, 5.94, 0.01
007.530417,+29.751667, 28    And,  2628, 5.23, 0.24
007.466250,-14.864167,          ,  2630, 6.14, 0.37
007.453750,-32.116667,          ,  2632, 6.57, 1.34
007.510000, -3.957222, 12    Cet,  2637, 5.72, 1.56
007.594583,-23.787778,          ,  2696, 5.19, 0.12
007.615833,-40.939444,          ,  2724, 6.19, 0.33
007.608750,-48.215000,          ,  2726, 5.69, 0.35
007.855417,+66.519444, 13    Cas,  2729, 6.18,-0.10
007.856667,+33.581667,          ,  2767, 5.87, 1.14
007.943333,+54.522222, 14Lam Cas,  2772, 4.73,-0.10
007.921667,+52.839444,          ,  2774, 5.60, 1.15
007.854167,-48.803611,   Lam1Phe,  2834, 4.77, 0.02
007.886250,-62.958056,   Bet1Tuc,  2884, 4.37,-0.07
007.890000,-62.965833,   Bet2Tuc,  2885, 4.54, 0.15
008.111667,+43.494722,          ,  2888, 6.70,-0.01
008.330417,+70.981667,          ,  2904, 6.42,-0.01
008.250000,+62.931667, 15Kap Cas,  2905, 4.16, 0.14
008.147917,+20.294444, 52    Psc,  2910, 5.38, 1.08
008.099167, +6.955556, 51    Psc,  2913, 5.67, 0.00
008.143750,+27.580556,          ,  2924, 6.67,
008.204583,+28.280278,          ,  2942, 6.30, 1.00
008.293333,+54.895000,          ,  2952, 5.93, 1.04
008.182500,-63.031111,   Bet3Tuc,  3003, 5.09, 0.04
008.603750,+66.750278, 16    Cas,  3038, 6.48,-0.08
008.421250,-29.558333,          ,  3059, 5.55, 1.27
008.347083,-71.266111,   The Tuc,  3112, 6.13, 0.23
008.615833,-52.373056,          ,  3158, 5.57, 0.47
008.730417,+13.371111,          ,  3166, 6.40,
008.812083, -3.592778, 13    Cet,  3196, 5.20, 0.56
008.886667, -0.505556, 14    Cet,  3229, 5.93, 0.44
009.034583,+54.168611,          ,  3240, 5.08,-0.11
008.977917,+13.206667,          ,  3268, 6.41, 0.52
009.113750,+60.326111,          ,  3283, 5.79, 0.29
008.921250,-48.000833,   Lam2Phe,  3302, 5.51, 0.44
008.889167,-54.821944,          ,  3303, 6.06, 1.01
009.083333,+27.254722,          ,  3322, 6.50,-0.09
009.012500,-14.973611,          ,  3325, 6.45, 1.06
009.028750,-22.842500,          ,  3326, 6.06, 0.29
009.194167,+44.488611,          ,  3346, 5.13, 1.60
009.242917,+53.896944, 17Zet Cas,  3360, 3.66,-0.20
009.220417,+33.719444, 29Pi  And,  3369, 4.36,-0.14
009.197083,+15.231667, 53    Psc,  3379, 5.89,-0.15
009.280000,+24.014167,          ,  3411, 6.47,
009.337917,+35.399444,          ,  3421, 5.48, 0.88
009.947083,+82.493889,          ,  3440, 6.40, 0.55
009.336250,-24.767222,          ,  3443, 5.57, 0.72
009.155833,-65.124722,          ,  3444, 6.42, 1.26
009.377083, +3.135278,          ,  3457, 6.39, 1.33
009.325417,-54.394167,          ,  3488, 6.41, 1.00
009.638750,+29.311667, 30Eps And,  3546, 4.37, 0.87
009.791250,+49.354444,          ,  3574, 5.43, 1.64
009.832083,+30.860833, 31Del And,  3627, 3.27, 1.28
009.840833,+21.250556, 54    Psc,  3651, 5.87, 0.85
009.981667,+21.438333, 55    Psc,  3690, 5.36, 1.16
010.127083,+56.537222, 18Alp Cas,  3712, 2.23, 1.17
009.670000,-73.137222,          ,  3719, 6.85, 0.11
009.991250,-33.961667,          ,  3735, 6.69, 0.51
009.966667,-44.796667,          ,  3750, 6.01, 1.14
010.119167,-16.516944,          ,  3794, 6.49, 0.92
010.137083,-23.804444,          ,  3795, 6.14, 0.70
010.176667, -4.351944,          ,  3807, 5.91, 1.10
010.280000,+39.458611, 32    And,  3817, 5.33, 0.89
010.110000,-59.454444,          ,  3823, 5.89, 0.55
010.514167,+66.147500,          ,  3856, 5.83, 1.04
010.400000,+24.629167,          ,  3883, 6.04, 0.26
010.516250,+50.512500, 19Xi  Cas,  3901, 4.80,-0.11
010.331667,-46.085000,   Mu  Phe,  3919, 4.59, 0.97
010.629583,+58.753333,          ,  3924, 6.17,-0.01
010.443333,-56.501667,   Xi  Phe,  3980, 5.70, 0.20
010.867083,+47.024722, 20Pi  Cas,  4058, 4.94, 0.18
010.678750,-38.463333,   Lam1Scl,  4065, 6.06,-0.03
010.674167,-60.262500,          ,  4088, 5.98, 1.32
010.618333,-65.468056,   Rho Tuc,  4089, 5.39, 0.50
010.897500,-17.986667, 16Bet Cet,  4128, 2.04, 1.02
011.110000,+47.864167,          ,  4142, 5.67,-0.12
010.959167,-12.011667,          ,  4145, 6.02, 1.10
010.838333,-57.463056,   Eta Phe,  4150, 4.36, 0.00
011.412500,+74.988056, 21    Cas,  4161, 5.66, 0.05
011.181250,+48.284444, 22Omi Cas,  4180, 4.54,-0.07
011.047500,-10.609444, 17Phi1Cet,  4188, 4.76, 1.01
011.050417,-38.421667,   Lam2Scl,  4211, 5.90, 1.16
011.321667,+55.221667,          ,  4222, 5.42, 0.04
011.185000,-22.006111,          ,  4247, 5.24, 0.33
011.237917,-42.676667,          ,  4293, 5.94, 0.28
011.134583,-62.497778,          ,  4294, 6.07, 0.44
011.662500,+69.325000,          ,  4295, 6.33,
011.350417, -4.629167,          ,  4301, 6.15, 1.62
011.250000,-53.715000,          ,  4304, 6.15, 0.53
011.369583,-12.880833, 18    Cet,  4307, 6.15, 0.61
011.562917,+55.305278,          ,  4321, 6.52,
011.545417,+44.861389,          ,  4335, 6.05,-0.07
011.423750,-16.424167,          ,  4338, 6.47, 0.31
011.676667,+59.574444,          ,  4362, 6.39, 1.09
011.942083,+74.847500, 23    Cas,  4382, 5.41,-0.08
011.440000,-47.551667,          ,  4391, 5.80, 0.64
011.549167,-22.521944,          ,  4398, 5.50, 0.98
011.637500,+15.475556, 57    Psc,  4408, 5.38, 1.65
012.037917,+72.675000,          ,  4440, 5.87, 1.01
011.756250,+11.973889, 58    Psc,  4482, 5.50, 0.97
011.806667,+19.578889, 59    Psc,  4490, 6.13, 0.27
011.834583,+24.267222, 34Zet And,  4502, 4.06, 1.12
011.848333, +6.740833, 60    Psc,  4526, 5.99, 0.94
011.978333,+20.925278, 61    Psc,  4568, 6.54, 0.50
011.930417,-18.061389,          ,  4585, 5.70, 1.30
012.275000,+57.815833, 24Eta Cas,  4614, 3.44, 0.57
012.004583,-21.722500,          ,  4622, 5.57,-0.06
012.072500, +7.300000, 62    Psc,  4627, 5.93, 1.10
012.095833, +5.280556,          ,  4628, 5.75, 0.88
012.208750,+50.968333, 25Nu  Cas,  4636, 4.89,-0.11
012.170833, +7.585000, 63Del Psc,  4656, 4.43, 1.50
012.244583,+16.940556, 64    Psc,  4676, 5.07, 0.51
012.453333,+41.078889, 35Nu  And,  4727, 4.53,-0.15
012.356667,-13.561389,          ,  4730, 5.59, 1.30
012.307917,-24.136389,          ,  4732, 5.90, 0.95
012.236250,-46.697778,          ,  4737, 6.27, 0.90
012.389167,-23.361667,          ,  4772, 6.28, 0.13
012.681667,+64.247500,          ,  4775, 5.39, 0.49
012.576250,+45.002222,          ,  4778, 6.15, 0.01
012.531667,-10.644444, 19Phi2Cet,  4813, 5.19, 0.50
012.147500,-74.923333,   Lam Hyi,  4815, 5.07, 1.37
012.818333,+61.805833,          ,  4817, 6.07, 1.88
012.739167,+51.508056,          ,  4818, 6.39, 0.28
012.515417,-43.394722,          ,  4849, 6.48, 0.29
013.721250,+83.707222,          ,  4853, 5.62, 0.09
012.890417,+51.571111,          ,  4881, 6.21,
012.671667,-50.986944,   Rho Phe,  4919, 5.22, 0.36
012.826250, +3.385000,          ,  4928, 6.37, 1.07
013.267083,+61.124167,          ,  5015, 4.82, 0.53
012.967083,-43.709167,          ,  5042, 6.90, 0.35
013.222500,+38.548611,          ,  5066, 6.69, 0.02
013.169167,-24.005833,          ,  5098, 5.46, 1.24
013.252083, -1.144167, 20    Cet,  5112, 4.77, 1.57
013.367500,+37.418056,          ,  5118, 6.06, 1.14
013.448333,+52.689167,          ,  5128, 6.27, 0.19
013.301667,-24.776944,          ,  5156, 6.46, 0.44
013.101250,-69.504444,   Lam1Tuc,  5190, 6.22, 0.56
013.750417,+58.972778, 26Ups1Cas,  5234, 4.83, 1.21
013.646667,+19.188333, 66    Psc,  5267, 5.74,-0.01
013.573333, -8.740833, 21    Cet,  5268, 6.16, 0.92
013.771667,+48.678611,          ,  5273, 6.27, 1.68
013.407917,-62.871389,          ,  5276, 5.70, 1.56
013.741667,+23.628333, 36    And,  5286, 5.47, 1.00
013.811250,+24.556944,          ,  5316, 6.20, 1.62
014.053750,+57.996667,          ,  5343, 6.21, 1.37
014.231667,+68.776111,          ,  5357, 6.37, 0.38
013.993750,+27.209444, 67    Psc,  5382, 6.09, 0.14
013.926667, -7.347222,          ,  5384, 5.85, 1.52
014.177083,+60.716667, 27Gam Cas,  5394, 2.47,-0.15
014.165833,+59.181111, 28Ups2Cas,  5395, 4.63, 0.96
014.196250,+60.362778,          ,  5408, 5.55,-0.07
014.006250,-11.266667, 22Phi3Cet,  5437, 5.31, 1.52
013.981250,-27.775556,          ,  5445, 6.10, 1.67
014.188333,+38.499444, 37Mu  And,  5448, 3.87, 0.13
013.751250,-69.526944,   Lam2Tuc,  5457, 5.45, 1.09
014.301667,+23.417500, 38Eta And,  5516, 4.42, 0.94
014.415417,+45.839722,          ,  5526, 6.12, 1.02
014.629583,+66.352222,          ,  5550, 5.97,-0.02
014.459167,+28.992222, 68    Psc,  5575, 5.42, 1.08
014.559167,+33.950833,          ,  5608, 5.98, 1.00
014.477083,+13.695833,          ,  5612, 6.32, 0.89
014.578750,+21.404444,          ,  5641, 6.37, 0.09
015.129167,+70.983056,          ,  5715, 6.39, 0.13
014.682917,-11.380000, 23Phi4Cet,  5722, 5.61, 0.97
014.651667,-29.357500,   Alp Scl,  5737, 4.31,-0.16
014.593333,-60.696389,          ,  5771, 6.23, 0.10
015.014167,+44.711111,          ,  5788, 6.84,
015.015000,+44.713333,          ,  5789, 6.04,-0.01
014.957083, +6.483056,          ,  5820, 6.11, 1.67
017.186250,+86.256944,          ,  5848, 4.25, 1.21
023.460000,+89.015556,          ,  5914, 6.46, 0.11
015.576667,+51.035000,          ,  6028, 6.47,
015.326250,-38.916667,   Xi  Scl,  6055, 5.59, 1.18
015.756250,+47.376111,          ,  6114, 6.45, 0.25
015.726250,+41.345000, 39    And,  6116, 5.98, 0.16
015.704583,+31.804444, 69Sig Psc,  6118, 5.50,-0.05
015.904167,+61.075000,          ,  6130, 5.92, 0.49
015.610000,-31.551944,   Sig Scl,  6178, 5.50, 0.08
015.735833, +7.890000, 71Eps Psc,  6186, 4.28, 0.96
015.507500,-57.002500,   Ome Phe,  6192, 6.11, 0.94
015.760833, -4.836667, 25    Cet,  6203, 5.43, 1.11
016.081667,+61.580278,          ,  6210, 5.84, 0.54
016.010000,+52.502222,          ,  6211, 5.99, 1.47
015.705000,-46.397500,          ,  6245, 5.36, 0.90
015.823333,-29.525833,          ,  6269, 6.29, 0.93
015.954167, +1.366667, 26    Cet,  6288, 6.04, 0.27
016.195000,+51.010000,          ,  6300, 6.54,-0.08
016.115000,+29.658611,          ,  6301, 6.19, 0.43
015.678750,-65.456111,          ,  6311, 6.21, 1.64
016.151667,+39.991111,          ,  6314, 6.72, 0.31
019.056250,+87.145278,          ,  6319, 6.25, 1.12
016.219167, +5.656389, 73    Psc,  6386, 6.00, 1.51
016.272500,+14.946111, 72    Psc,  6397, 5.68, 0.41
016.595000,+62.761667,          ,  6416, 6.54, 0.19
016.420417,+21.473333, 74Psi1Psc,  6456, 5.34,-0.03
016.423750,+21.465278, 74Psi1Psc,  6457, 5.56,-0.07
017.301250,+80.011667,          ,  6473, 6.29,
016.455000, +4.908333, 77    Psc,  6479, 6.35, 0.38
016.403333, -9.979167, 27    Cet,  6482, 6.12, 1.01
016.750833,+56.935000,          ,  6497, 6.43, 1.18
016.521250, -9.839444, 28    Cet,  6530, 5.58, 0.01
016.789583,+53.498333,          ,  6540, 6.38,
016.640000,+12.956111, 75    Psc,  6557, 6.12, 0.96
016.532083,-23.992500,          ,  6559, 6.14, 1.09
017.068333,+54.920278, 30Mu  Cas,  6582, 5.17, 0.69
016.520833,-46.718611,   Bet Phe,  6595, 3.31, 0.89
016.610417,-35.660833,          ,  6619, 6.61, 0.14
017.003750,+43.941944, 41    And,  6658, 5.03, 0.11
016.804583,-23.996389,          ,  6668, 6.37, 0.23
017.138750,+58.263611,          ,  6676, 5.79,-0.01
017.005417,+32.012222, 78    Psc,  6680, 6.25, 0.40
016.988333,+20.739167, 79Psi2Psc,  6695, 5.55, 0.13
016.942500, -9.785556, 30    Cet,  6706, 5.82, 0.43
017.092500, +5.649722, 80    Psc,  6763, 5.52, 0.34
016.949583,-41.486944,   Ups Phe,  6767, 5.21, 0.16
016.827917,-61.775278,   Iot Tuc,  6793, 5.37, 0.88
018.069583,+79.673889,          ,  6798, 5.64, 0.01
017.147500,-10.182222, 31Eta Cet,  6805, 3.45, 1.16
017.375833,+47.241944, 42Phi And,  6811, 4.25,-0.07
017.663750,+68.778611, 31    Cas,  6829, 5.29,-0.02
017.432917,+35.620556, 43Bet And,  6860, 2.06, 1.58
017.096250,-55.245833,   Zet Phe,  6882, 3.92,-0.08
017.455000,+19.658611, 81Psi3Psc,  6903, 5.55, 0.69
017.578333,+42.081389, 44    And,  6920, 5.65, 0.60
017.580833,+25.457778,          ,  6953, 5.80, 1.47
017.856667,+64.202778,          ,  6960, 5.55,-0.07
017.775833,+55.149722, 33The Cas,  6961, 4.33, 0.17
017.547917,+15.674167,          ,  6966, 6.06, 1.49
017.922500,+65.018889, 32    Cas,  6972, 5.57,-0.09
017.550000, -8.906111, 32    Cet,  6976, 6.40, 1.04
017.640000, +2.445556, 33    Cet,  7014, 5.95, 1.51
017.792917,+37.724167, 45    And,  7019, 5.81,-0.10
017.778333,+31.424722, 82    Psc,  7034, 5.16, 0.23
017.530833,-57.694444,          ,  7082, 6.41, 0.89
017.863333,+21.034722, 84Chi Psc,  7087, 4.66, 1.03
017.915000,+30.089722, 83Tau Psc,  7106, 4.51, 1.09
017.931250, -2.251111, 34    Cet,  7147, 5.94, 1.40
018.291250,+61.705833,          ,  7157, 6.41, 0.01
018.141667,+45.337778,          ,  7158, 6.11, 1.64
018.247917,+30.064167,          ,  7229, 6.19, 1.00
019.127917,+79.910000,          ,  7238, 6.26, 0.42
018.097500,-30.802222,          ,  7259, 6.52, 0.48
018.189167,-37.856389,          ,  7312, 5.92, 0.28
018.437083,+24.583611, 85Phi Psc,  7318, 4.65, 1.04
018.432917, +7.575278, 86Zet Psc,  7344, 5.24, 0.32
018.438750, +7.578333, 86Zet Psc,  7345, 6.30, 0.49
018.520833,+28.529722,          ,  7351, 6.43, 1.70
018.531667,+16.133611, 87    Psc,  7374, 5.98,-0.08
018.600000, -7.923056, 37    Cet,  7439, 5.13, 0.46
018.676667, +6.995278, 88    Psc,  7446, 6.03, 1.08
018.705000, -0.973889, 38    Cet,  7476, 5.70, 0.42
019.102083,+48.082222,          ,  7546, 6.61,-0.05
018.796250,-45.531389,   Nu  Phe,  7570, 4.96, 0.58
019.078333,+33.114722,          ,  7578, 6.02, 1.15
019.271250,+44.901944,          ,  7647, 6.34,
019.151250, -2.500278, 39    Cet,  7672, 5.41, 0.90
019.350417,+31.744722,          ,  7724, 6.73,
020.081250,+77.570556,          ,  7732, 6.31, 0.92
019.542500,+47.419722,          ,  7758, 6.25, 1.35
018.942083,-68.876111,   Kap Tuc,  7788, 4.86, 0.47
019.450000, +3.614444, 89    Psc,  7804, 5.16, 0.07
019.695833,+37.386111,          ,  7853, 6.46, 0.23
019.265000,-66.398056,          ,  7916, 6.24, 0.05
020.496250,+76.238889,          ,  7925, 6.38, 0.28
020.020417,+58.231667, 34Phi Cas,  7927, 4.98, 0.68
019.866667,+27.264167, 90Ups Psc,  7964, 4.76, 0.03
020.271667,+64.658333, 35    Cas,  8003, 6.34, 0.09
019.951250, -0.508889, 42    Cet,  8036, 5.87, 0.64
020.945000,+78.725833,          ,  8065, 6.07, 0.39
020.143750, -3.246944,          ,  8120, 6.23, 1.02
020.115833,-11.238889,          ,  8121, 6.15, 1.11
020.280833,+28.738056, 91    Psc,  8126, 5.23, 1.39
020.585000,+45.528889, 46Xi  And,  8207, 4.88, 1.08
020.840000,+58.143056,          ,  8272, 6.45,
020.654167, +1.726389,          ,  8334, 6.20, 1.52
020.645000, -0.449722, 43    Cet,  8335, 6.49, 1.08
020.627083,-19.081389,          ,  8350, 6.35, 0.48
020.919167,+37.715000, 47    And,  8374, 5.58, 0.26
020.906250,+34.245833,          ,  8375, 6.29, 0.83
020.853750,+20.468889,          ,  8388, 5.97, 1.71
021.443750,+70.980000,          ,  8424, 6.49,
021.483333,+68.130000, 36Psi Cas,  8491, 4.74, 1.05
020.879167,-30.945556,          ,  8498, 5.84, 1.61
021.010417, -8.007500, 44    Cet,  8511, 6.21, 0.23
021.005833, -8.183333, 45The Cet,  8512, 3.60, 1.06
021.454167,+60.235278, 37Del Cas,  8538, 2.68, 0.13
021.085833, -6.914722,          ,  8556, 5.91, 0.41
021.165833,-15.660278,          ,  8589, 6.14, 0.91
021.202917, -2.848611,          ,  8599, 6.15, 0.96
021.398750,+23.511667,          ,  8634, 6.18, 0.43
021.170000,-41.492500,          ,  8651, 5.42, 1.04
021.577500,+43.457778,          ,  8671, 5.96, 0.49
021.536250,+34.579722,          ,  8673, 6.31, 0.47
021.174583,-44.528333,          ,  8681, 6.26, 1.14
021.405000,-14.598889, 46    Cet,  8705, 4.90, 1.23
021.563750,+19.172222, 93Rho Psc,  8723, 5.38, 0.39
021.673750,+19.240278, 94    Psc,  8763, 5.50, 1.11
021.775833,+34.377500,          ,  8774, 6.27, 0.46
021.613750, -0.398611,          ,  8779, 6.41, 1.24
021.914167,+45.406667, 48Ome And,  8799, 4.83, 0.42
021.860833,+41.100556,          ,  8801, 6.46, 0.27
021.722917, +3.535278,          ,  8803, 6.58,-0.04
021.272083,-64.369444,          ,  8810, 5.93, 1.56
021.715000,-13.056667, 47    Cet,  8829, 5.66, 0.35
021.945833,+40.335556,          ,  8837, 6.60,-0.04
021.742083,-32.543056,          ,  8879, 5.79, 3.86
037.952917,+89.264167,  1Alp UMi,  8890, 2.02, 0.60
021.944167,-10.901667,          ,  8921, 6.13, 1.32
022.095417, +7.961389,          ,  8949, 6.20, 1.12
022.807500,+70.264722, 38    Cas,  9021, 5.81, 0.47
022.717917,+66.098056,          ,  9030, 6.14, 0.08
022.091250,-43.318333,   Gam Phe,  9053, 3.41, 1.57
022.525833,+47.007222, 49    And,  9057, 5.27, 1.00
022.180417,-33.763611,          ,  9065, 6.58, 0.30
022.470417,+18.355556, 97    Psc,  9100, 6.02, 0.14
022.400417,-21.629444, 48    Cet,  9132, 5.12, 0.02
022.546250, +6.143889, 98Mu  Psc,  9138, 4.84, 1.37
022.376667,-46.756389,          ,  9184, 6.31, 1.66
022.595417,-26.207778,          ,  9228, 5.93, 1.34
022.870833,+15.345833, 99Eta Psc,  9270, 3.62, 0.97
023.031667,+34.800000,          ,  9298, 6.39,-0.12
