ra,dec,Name,HD,Vmag,bv
099.772083,+22.030833,          , 47358, 6.04, 1.03
099.420417,-12.985000,          , 47366, 6.12, 1.00
099.887917,+28.263056, 54    Aur, 47395, 6.03,-0.08
099.880833,+24.600000,          , 47415, 6.38, 0.53
099.585417, -2.543611,          , 47420, 6.14, 1.48
099.706250, +4.700556,          , 47431, 6.57,-0.07
099.658750, +1.613611,          , 47432, 6.21, 0.15
099.472500,-18.237500,  8Nu 3CMa, 47442, 4.43, 1.15
099.257917,-38.146667,          , 47463, 6.04, 1.03
099.213750,-41.556944,          , 47475, 6.34, 1.15
099.307500,-36.990556,          , 47500, 5.71,-0.12
099.448333,-32.339722,          , 47536, 5.27, 1.18
099.647500,-16.873611,          , 47561, 6.03, 0.03
099.948333,+12.983056,          , 47575, 5.97, 0.06
099.819583,-14.145833,          , 47667, 4.82, 1.50
099.440417,-43.196111,   Nu  Pup, 47670, 3.17,-0.11
100.407083,+35.931944,          , 47703, 6.46, 0.49
100.337500,+28.196389, 25    Gem, 47731, 6.42, 1.09
100.132500, +6.371667,          , 47756, 6.51,-0.14
099.901250,-23.695556,          , 47827, 6.05,-0.03
100.244583, +9.895556, 15    Mon, 47839, 4.66,-0.25
100.340833,+16.397500,          , 47863, 6.28,-0.01
100.321667,+11.003333,          , 47886, 6.11, 1.68
100.770833,+44.524444, 55Psi4Aur, 47914, 5.02, 1.48
099.927917,-30.470278,          , 47946, 5.71, 1.14
100.272500, +0.495278,          , 47964, 5.79,-0.10
099.656667,-48.220278,          , 47973, 4.93, 0.87
101.048333,+53.296389,          , 47979, 6.27, 1.08
100.807500,+37.146944,          , 48073, 6.19, 1.03
099.987083,-38.158889,          , 48087, 6.58, 1.18
100.601250,+17.645278, 26    Gem, 48097, 5.21, 0.06
100.497083, +6.345000,          , 48099, 6.37,-0.05
099.502500,-61.533056,          , 48189, 6.18, 0.62
100.485000, -9.167222,          , 48217, 5.19, 1.53
101.558750,+59.441667, 12    Lyn, 48250, 4.87, 0.08
101.052500,+36.109722,          , 48272, 6.31, 0.06
100.982917,+25.131111, 27Eps Gem, 48329, 2.98, 1.40
100.777083, +3.033333,          , 48348, 6.19, 1.37
100.308750,-40.349722,          , 48383, 6.12,-0.14
100.205417,-47.674722,          , 48403, 6.65, 1.58
101.706250,+57.169167, 13    Lyn, 48432, 5.35, 0.96
100.997083,+13.227778, 30    Gem, 48433, 4.49, 1.16
100.911250, +3.932222,          , 48434, 5.90,-0.02
101.189583,+28.970833, 28    Gem, 48450, 5.44, 1.45
100.690833,-22.449167,          , 48501, 6.13, 0.34
100.568333,-38.398611,          , 48543, 6.29, 0.34
101.684583,+43.577500, 56Psi5Aur, 48682, 5.25, 0.56
101.322500,+12.895556, 31Xi  Gem, 48737, 3.36, 0.43
102.053750,+55.704444,          , 48767, 6.33,
102.051250,+55.704444,          , 48766, 6.28, 0.47
101.915000,+48.789444, 57Psi6Aur, 48781, 5.22, 1.12
100.847083,-39.193333,          , 48797, 6.30, 0.26
101.475833,+12.693611, 32    Gem, 48843, 6.46,
102.737917,+67.571944, 42    Cam, 48879, 5.14,-0.17
101.287083,-16.716111,  9Alp CMa, 48915,-1.46, 0.00
101.118333,-31.070556, 10    CMa, 48917, 5.20,-0.12
101.216250,-27.341389,          , 48938, 6.45, 0.54
101.635000, +8.587222, 16    Mon, 48977, 5.93,-0.17
101.347083,-23.461944,          , 49001, 6.05, 1.20
101.260000,-30.586111,          , 49028, 6.54,-0.11
101.497083,-14.796111,          , 49048, 5.32, 0.07
101.847917,+18.193333,          , 49059, 6.20, 0.07
101.345000,-31.793611,          , 49095, 5.92, 0.48
101.380417,-30.948889,          , 49131, 5.80,-0.19
101.662500,-10.107222,          , 49147, 5.66,-0.05
101.832500, +8.037222, 17    Mon, 49161, 4.77, 1.40
101.712917,-14.425833, 11    CMa, 49229, 5.29,-0.04
100.240833,-71.775556,          , 49268, 6.51, 1.11
101.965000, +2.412222, 18    Mon, 49293, 4.47, 1.11
101.513750,-39.540000,          , 49319, 6.62,-0.13
101.904583, -8.998333,          , 49331, 5.07, 1.80
101.756250,-21.015556, 12    CMa, 49333, 6.08,-0.19
101.550417,-37.775556,          , 49336, 6.21,-0.13
103.425833,+68.888333, 43    Cam, 49340, 5.12,-0.13
102.422083,+32.606667,          , 49380, 5.71, 1.29
101.358750,-52.201111,          , 49396, 6.57, 1.08
102.079167, -1.319167,          , 49434, 5.75, 0.28
101.473750,-52.410000,          , 49517, 5.80, 1.53
102.691250,+41.781389, 58Psi7Aur, 49520, 5.02, 1.27
102.265417, +1.001944,          , 49567, 6.15,-0.13
101.839167,-37.929722,          , 49591, 5.26,-0.08
102.457500,+16.202778, 33    Gem, 49606, 5.85,-0.13
103.271250,+59.448611, 14    Lyn, 49618, 5.33, 0.65
102.318333, -2.271944,          , 49643, 5.74,-0.10
102.240833,-15.144722,          , 49662, 5.39,-0.10
101.720000,-51.265833,          , 49689, 5.40, 1.34
101.672917,-54.694722,          , 49705, 6.46, 0.86
102.606250,+13.413333, 35    Gem, 49738, 5.65, 1.34
101.827917,-55.540000,          , 49877, 5.61, 1.52
105.016667,+76.977500,          , 49878, 4.55, 1.36
102.433333,-24.075833,          , 49891, 6.33, 0.04
102.887500,+21.761111, 36    Gem, 49908, 5.27,-0.02
102.707917, -0.540833,          , 49933, 5.77, 0.39
100.903333,-73.118056,          , 49947, 6.37, 0.96
103.281667,+44.839444,          , 49949, 6.26, 0.21
103.000000,+23.601667,          , 49968, 5.65, 1.45
102.676250, -8.041111,          , 49976, 6.29, 0.00
102.591250,-17.083889,          , 49980, 5.79, 1.44
101.233750,-70.433889,          , 50002, 6.11, 1.33
102.460417,-32.508611, 13Kap CMa, 50013, 3.96,-0.23
103.256250,+38.869167, 59    Aur, 50018, 6.12, 0.37
103.197083,+33.961111, 34The Gem, 50019, 3.60, 0.10
103.305833,+38.438056, 60    Aur, 50037, 6.30, 0.49
103.264167,+35.788611,          , 50056, 6.01, 1.45
102.913750, +3.041667,          , 50062, 6.38, 0.04
102.653750,-25.778056,          , 50093, 6.33,-0.18
102.597083,-31.706111,          , 50123, 5.70, 0.14
102.490833,-45.450000,          , 50196, 6.55, 1.51
103.487500,+38.505000, 61Psi8Aur, 50204, 6.48,-0.05
102.477500,-46.614722,          , 50223, 5.14, 0.45
102.718333,-34.367222,          , 50235, 4.99, 1.38
102.047500,-61.941389,   Alp Pic, 50241, 3.27, 0.21
103.205833, +8.380278,          , 50277, 5.77, 0.26
103.095417, -5.316111,          , 50282, 6.30, 0.99
102.484167,-50.614722,   Tau Pup, 50310, 2.93, 1.20
102.463750,-53.622222,          , 50337, 4.40, 0.92
103.343750,+10.996389,          , 50371, 6.24, 0.97
103.813333,+45.826389,          , 50384, 6.34, 0.94
103.811250,+43.910000,          , 50420, 6.13, 0.32
102.926250,-36.230278,          , 50445, 5.96, 0.18
100.011250,-80.813611,   Zet Men, 50506, 5.64, 0.20
104.318750,+58.422500, 15    Lyn, 50522, 4.35, 0.85
104.305000,+57.563333,          , 50551, 6.05, 1.49
102.504583,-60.249167,          , 50571, 6.11, 0.46
102.886667,-48.292500,          , 50621, 6.42, 1.21
103.661250,+13.177778, 38    Gem, 50635, 4.65, 0.30
103.328333,-19.032778,          , 50644, 5.64, 0.28
103.340417,-18.933333,          , 50643, 6.14, 0.15
103.250417,-26.957500,          , 50648, 6.40, 1.53
104.134583,+46.274167,   Psi9Aur, 50658, 5.87,-0.06
103.827500,+25.375556, 37    Gem, 50692, 5.73, 0.57
103.535417, -5.852500,          , 50700, 6.41, 0.17
103.387083,-20.224167, 15    CMa, 50707, 4.83,-0.21
103.602500, -1.126944,          , 50747, 5.45, 0.18
104.233333,+46.705000,          , 50763, 5.86, 1.08
103.547500,-12.038611, 14The CMa, 50778, 4.07, 1.43
103.165417,-42.504444,          , 50785, 6.52, 0.42
103.391250,-28.539722,          , 50806, 6.04, 0.71
103.675417, -1.756389,          , 50820, 6.21, 0.56
103.480417,-24.539167,          , 50853, 6.21, 0.01
103.196250,-43.975833,          , 50860, 6.46,-0.10
103.532917,-24.183889, 16Omi1CMa, 50877, 3.87, 1.73
105.339583,+70.808056,          , 50885, 5.68, 1.33
103.745000, -2.803611,          , 50890, 6.04, 1.10
103.554167,-23.928333,          , 50896, 6.91,-0.28
103.894167, +8.324722,          , 50931, 6.29, 0.04
104.404583,+45.094167, 16    Lyn, 50973, 4.90, 0.03
104.252083,+33.681111,          , 51000, 5.89, 0.88
103.195417,-54.090000,          , 51043, 6.57, 1.08
103.761250,-20.404722, 17    CMa, 51055, 5.74, 0.08
104.107500, +9.956389,          , 51104, 5.92,-0.08
103.905833,-20.136389, 19Pi  CMa, 51199, 4.68, 0.37
103.611250,-42.365556,          , 51208, 6.32, 2.24
103.189167,-59.341111,          , 51210, 6.41, 0.18
104.027500,-14.043611, 18Mu  CMa, 51250, 5.00, 1.18
103.509583,-50.611667,          , 51266, 6.26, 0.99
103.945000,-22.941389,          , 51283, 5.30,-0.18
104.034167,-17.054167, 20Iot CMa, 51309, 4.37,-0.07
104.357083,+11.907500,          , 51330, 6.27, 0.34
103.978333,-31.790000,          , 51411, 6.36,
104.250417, -8.178889,          , 51424, 6.34, 0.64
104.761667,+38.052222, 62    Aur, 51440, 6.00, 1.23
104.697500,+26.081111, 39    Gem, 51530, 6.10, 0.46
102.862500,-70.963333,   Iot Vol, 51557, 5.40,-0.11
104.311667,-22.203333,          , 51630, 6.61,-0.19
104.190417,-35.341667,          , 51682, 6.29, 1.29
104.866250,+25.914167, 40    Gem, 51688, 6.40,-0.11
104.662500, +7.621944,          , 51693, 6.27, 0.11
104.391250,-24.630556,          , 51733, 5.46, 0.36
104.066667,-48.721111,          , 51799, 4.95, 1.69
115.127083,+87.020000,          , 51802, 5.07, 1.63
104.737500, +3.602222,          , 51814, 5.97, 1.06
104.426667,-27.537500,          , 51823, 6.23,-0.14
104.323333,-35.507500,          , 51825, 6.23, 0.46
104.833750, +7.316944,          , 51892, 6.35,-0.11
104.531667,-27.164722,          , 51925, 6.37,-0.19
105.065833,+16.078889, 41    Gem, 52005, 5.68, 1.66
104.649583,-25.413889,          , 52018, 5.59,-0.16
106.465833,+70.731944,          , 52030, 6.50,
104.656250,-28.972222, 21Eps CMa, 52089, 1.50,-0.21
104.604583,-34.111667,          , 52092, 5.06,-0.16
105.321667,+32.414444,          , 52100, 6.59, 0.27
104.682500,-30.997778,          , 52140, 6.42,-0.14
105.075000, -5.366944,          , 52265, 6.30, 0.57
104.913750,-21.603333,          , 52273, 6.26,-0.15
105.098750, -8.406944,          , 52312, 5.96,-0.08
105.033750,-20.158889,          , 52348, 6.31,-0.15
104.674167,-45.768056,          , 52362, 6.22, 0.00
105.163750, -9.203056,          , 52382, 6.49, 0.21
105.080417,-22.119444,          , 52437, 6.53,-0.17
105.422500, +4.818056,          , 52479, 6.63, 0.06
105.603333,+24.215278, 42Ome Gem, 52497, 5.18, 0.94
105.606250,+17.755556,          , 52554, 5.94, 1.63
105.572500,+15.336111,          , 52556, 5.74,
105.479167, +5.557500,          , 52559, 6.59,-0.02
104.665000,-55.729444,          , 52603, 6.27, 1.16
105.639583,+16.674167,          , 52609, 5.82, 1.68
105.470417, -1.345556,          , 52611, 6.17, 1.28
105.177500,-28.489444,          , 52619, 6.27, 0.45
104.650833,-56.394722,          , 52622, 6.45, 0.39
105.485000, -5.722222,          , 52666, 5.20, 1.68
105.274583,-25.215278,          , 52670, 5.63,-0.17
105.207500,-33.465278,          , 52703, 6.40, 1.05
106.505417,+59.801944,          , 52708, 6.44,
105.876667,+29.337222,          , 52711, 5.93, 0.60
106.415833,+52.758056,          , 52859, 6.12, 0.11
106.287500,+47.775000,          , 52860, 6.38,-0.04
105.429583,-27.934722, 22Sig CMa, 52877, 3.47, 1.73
105.824583, +9.138333,          , 52913, 5.97, 0.12
105.728333, -4.239167, 19    Mon, 52918, 4.99,-0.20
105.908333,+10.951667,          , 52960, 5.13, 1.39
106.027083,+20.570278, 43Zet Gem, 52973, 3.79, 0.79
105.965000,+12.594444,          , 52976, 5.98, 1.58
105.214583,-51.402500,          , 53047, 5.14, 1.61
105.756250,-23.833333, 24Omi2CMa, 53138, 3.02,-0.08
106.084167, +1.488333,          , 53205, 6.57, 0.01
106.021667, -5.323611,          , 53208, 5.62, 1.29
105.988750,-10.124167,          , 53240, 6.45,-0.08
105.939583,-15.633333, 23Gam CMa, 53244, 4.12,-0.12
105.565000,-43.404167,          , 53253, 6.43,-0.04
106.326667,+22.637222, 44    Gem, 53257, 6.02,-0.03
106.548333,+34.473889,          , 53329, 5.55, 0.91
105.271250,-58.940000,          , 53349, 6.02, 0.30
104.960417,-67.916111,          , 53501, 5.17, 1.40
106.412917, +9.185833,          , 53510, 5.78, 1.52
106.196250,-22.032222,          , 53629, 6.09, 1.22
106.842917,+34.009444,          , 53686, 5.91, 1.51
106.011667,-42.337222,          , 53704, 5.20, 0.20
105.988750,-43.608056,          , 53705, 5.54, 0.64
105.995000,-43.611667,          , 53706, 6.79, 0.80
106.854167,+28.177222,          , 53744, 6.48,-0.09
106.457083,-10.661111,          , 53755, 6.49,-0.05
105.973750,-49.583889,          , 53811, 4.93, 0.13
107.055417,+33.832222,          , 53899, 6.28, 1.34
105.815000,-59.178056,          , 53921, 5.50,-0.11
107.151250,+37.445000,          , 53925, 6.16, 1.21
106.776667, +4.910278,          , 53929, 6.11,-0.13
106.383333,-34.777778,          , 53952, 6.14, 0.37
106.669583,-11.294167,          , 53974, 5.39, 0.05
106.649583,-12.393889,          , 53975, 6.48,-0.10
106.502500,-30.655556,          , 54031, 6.34,-0.16
108.492083,+71.816667,          , 54070, 6.35, 1.12
106.956250, +7.471111,          , 54079, 5.75, 1.18
106.076250,-56.749722,          , 54118, 5.17,-0.04
107.091667,+15.930833, 45    Gem, 54131, 5.44, 1.03
106.509583,-38.382778,          , 54153, 6.11, 0.70
106.717917,-24.960556,          , 54173, 6.08, 1.34
106.318750,-50.360278,          , 54179, 6.46,
106.750417,-26.657778,          , 54224, 6.62,-0.17
104.143333,-79.420278,   The Men, 54239, 5.45, 0.05
106.844167,-23.840278,          , 54309, 5.71,-0.10
106.779583,-40.893333,          , 54475, 5.79,-0.17
107.527917,+21.246944,          , 54563, 6.43, 0.89
107.097917,-26.393333, 25Del CMa, 54605, 1.84, 0.68
107.334583,-10.347222,          , 54662, 6.21, 0.03
107.205417,-24.044167,          , 54669, 6.65,-0.19
107.913750,+39.320556, 63    Aur, 54716, 4.90, 1.45
107.785000,+30.245278, 46Tau Gem, 54719, 4.41, 1.26
106.805417,-51.967778,          , 54732, 5.96, 1.00
107.388333,-16.234722,          , 54764, 6.03, 0.06
107.846250,+26.856667, 47    Gem, 54801, 5.78, 0.10
107.557083, -4.237222, 20    Mon, 54810, 4.92, 1.03
107.212917,-39.655833,          , 54893, 4.83,-0.18
108.347500,+51.428889,          , 54895, 5.47, 1.67
107.428750,-25.231111,          , 54912, 5.69,-0.16
107.538750,-18.685278,          , 54958, 6.23, 0.40
108.110000,+24.128333, 48    Gem, 55052, 5.85, 0.36
107.848333, -0.301944, 21    Mon, 55057, 5.45, 0.29
107.580833,-27.491389,          , 55070, 5.46, 1.00
111.341250,+81.257500,          , 55075, 6.31,-0.04
107.963750, +5.654722,          , 55111, 6.09,-0.02
108.204167,+27.224722,          , 55130, 6.43, 0.49
106.558750,-68.837222,          , 55151, 6.47, 1.04
108.030833, +5.474722,          , 55184, 6.16, 1.14
107.966250, -0.492778, 22Del Mon, 55185, 4.15,-0.01
108.978750,+59.637500, 18    Lyn, 55280, 5.20, 1.07
107.923333,-20.883056,          , 55344, 5.84,-0.04
108.342917,+16.158889, 51    Gem, 55383, 5.00, 1.66
108.050833,-25.942500, 26    CMa, 55522, 5.92,-0.17
107.697917,-48.932222,          , 55526, 5.14, 1.24
108.017083,-30.821667,          , 55568, 6.10, 0.27
108.958750,+47.240000,          , 55575, 5.58, 0.58
108.610833,+24.710833,          , 55579, 6.89,-0.03
108.280000,-11.251389,          , 55589, 5.78, 1.51
108.100417,-27.474167,          , 55595, 6.59, 0.19
108.674583,+24.885000, 52    Gem, 55621, 5.82, 1.56
108.107083,-36.544444,          , 55718, 5.96,-0.14
108.065833,-40.498889,          , 55719, 5.31, 0.06
108.635833,+12.115833,          , 55730, 5.62, 1.01
108.583333, +3.111389,          , 55751, 5.35, 1.19
108.349583,-22.673333,          , 55762, 6.01, 1.48
108.545833, -3.901389,          , 55775, 5.75, 1.58
108.564583, -9.947500,          , 55832, 5.90, 1.52
108.451250,-22.906389,          , 55856, 6.36,-0.21
108.401250,-27.356389,          , 55857, 6.12,-0.23
107.175833,-70.497222,   Gam1Vol, 55864, 5.69, 0.40
107.187083,-70.498889,   Gam2Vol, 55865, 3.78, 1.04
109.390417,+52.130833,          , 55866, 5.92, 1.26
108.987917,+27.897500, 53    Gem, 55870, 5.71, 1.63
108.617500,-10.316667,          , 55879, 6.03,-0.18
108.140000,-46.759444,          , 55892, 4.49, 0.32
108.446250,-31.083889,          , 55958, 6.60,-0.17
112.768333,+82.411389,          , 55966, 4.96, 1.66
108.488333,-30.340000,          , 55985, 6.33,-0.20
108.830417, -0.161389, 24    Mon, 56003, 6.41, 0.90
108.563333,-26.352500, 27    CMa, 56014, 4.66,-0.19
108.305833,-45.183056,          , 56022, 4.89,-0.02
108.914167, +7.977778,          , 56031, 5.82, 1.60
108.385000,-44.639722,          , 56096, 5.10, 1.56
108.702917,-26.772778, 28Ome CMa, 56139, 3.85,-0.17
108.712917,-27.038056,          , 56160, 5.58, 1.22
109.632917,+49.465000,          , 56169, 5.05, 0.08
108.929583,-10.583889,          , 56207, 5.95, 1.18
109.509167,+40.883333, 64    Aur, 56221, 5.78, 0.17
108.008333,-63.190000,          , 56239, 6.02,-0.02
108.947917,-23.740556,          , 56341, 6.32,
108.837500,-30.686389,          , 56342, 5.36,-0.17
109.517083,+30.955833,          , 56386, 6.24,-0.03
109.060417,-15.585833,          , 56405, 5.46, 0.08
108.737917,-41.425833,          , 56410, 5.94,-0.16
109.324167, +6.680556,          , 56446, 6.65,-0.11
108.691250,-46.849722,          , 56455, 5.72,-0.11
108.659167,-48.271667,          , 56456, 4.76,-0.10
109.523333,+16.540278, 54Lam Gem, 56537, 3.58, 0.11
109.153333,-23.315556,          , 56577, 4.79, 1.71
109.382083, -6.680000,          , 56614, 6.29, 1.62
109.145833,-27.881111,          , 56618, 4.64, 1.60
108.837500,-52.499722,          , 56705, 5.97, 1.10
109.238333,-30.896667,          , 56731, 6.32, 0.20
109.132500,-38.318889,          , 56733, 5.80,-0.13
109.206250,-36.592778,          , 56779, 5.03,-0.17
109.064583,-46.774444,          , 56813, 5.66, 1.44
110.571667,+59.901944, 47    Cam, 56820, 6.35,
109.285833,-37.097500,   Pi  Pup, 56855, 2.70, 1.62
109.449583,-26.797500,          , 56876, 6.46,-0.15
110.262917,+42.655556,          , 56941, 6.35, 1.46
110.322917,+45.228056,          , 56963, 5.77, 0.32
110.030833,+21.982222, 55Del Gem, 56986, 3.53, 0.34
109.843333, +2.740556,          , 56989, 5.89, 1.07
109.948333, +7.142778,          , 57006, 5.91, 0.53
110.028750,+15.142778,          , 57049, 6.45,-0.02
109.667917,-24.558889, 29    CMa, 57060, 4.98,-0.15
109.676667,-24.954167, 30Tau CMa, 57061, 4.40,-0.15
110.712083,+55.284444, 19    Lyn, 57102, 6.53,
110.717083,+55.281389, 19    Lyn, 57103, 5.45,
109.758333,-19.280278,          , 57118, 6.09, 0.62
109.713333,-26.585833,          , 57146, 5.28, 0.96
109.576667,-36.734167,          , 57150, 4.66,-0.10
109.867083,-16.395000,          , 57167, 5.70, 0.35
109.517500,-43.986667,          , 57197, 5.85,-0.12
109.659167,-36.742778,          , 57219, 5.11,-0.16
109.640000,-39.210278,          , 57240, 5.25, 0.01
110.555833,+38.996111,          , 57263, 6.40, 1.22
110.510833,+36.760556, 65    Aur, 57264, 5.13, 1.08
109.807083,-33.727222,          , 57299, 6.30, 1.31
110.486667,+20.443611, 56    Gem, 57423, 5.10, 1.52
110.242500,-14.360000,          , 57478, 5.45, 0.98
113.665417,+80.896667,          , 57508, 6.41,
110.320417, -8.878333,          , 57517, 6.55, 0.54
110.221667,-22.851667,          , 57573, 6.61,-0.15
110.229167,-26.963611,          , 57593, 6.01,-0.17
110.514583, +0.177222,          , 57608, 5.99,-0.07
110.267917,-25.891389,          , 57615, 5.87, 1.64
109.207500,-67.957222,   Del Vol, 57623, 3.98, 0.79
111.238333,+51.887222,          , 57646, 5.80, 1.61
111.035417,+40.672222, 66    Aur, 57669, 5.19, 1.23
110.508333, -8.979167,          , 57682, 6.43,-0.19
110.577083, -2.978889,          , 57708, 6.23, 0.68
110.868750,+25.050556, 57    Gem, 57727, 5.03, 0.90
111.857500,+66.331667,          , 57742, 6.47,-0.09
110.867500,+22.945278, 58    Gem, 57744, 6.02,-0.01
110.605833, -5.982778,          , 57749, 5.82, 0.35
110.556250,-19.016667,          , 57821, 4.96,-0.04
110.089167,-52.311667,          , 57852, 6.05, 0.42
110.090417,-52.309722,          , 57853, 6.60, 0.59
110.161250,-52.086111,          , 57917, 5.39,-0.07
111.139167,+27.638056, 59    Gem, 57927, 5.76, 0.34
111.115417,+15.517222,          , 58050, 6.41,-0.18
111.678333,+49.211389, 21    Lyn, 58142, 4.64,-0.02
110.752500,-31.923889,          , 58155, 5.43,-0.15
111.242500,+11.669722,  1    CMi, 58187, 5.30, 0.10
111.431667,+27.798056, 60Iot Gem, 58207, 3.79, 1.03
110.871250,-27.834167,          , 58215, 5.38, 1.53
110.882917,-32.202222,          , 58286, 5.39,-0.18
110.976250,-30.216944,          , 58325, 6.60,-0.20
111.167083,-16.201111,          , 58343, 5.33,-0.05
111.071667,-22.912778,          , 58346, 6.19,-0.09
111.023750,-29.303056, 31Eta CMa, 58350, 2.45,-0.08
111.412083, +9.276111,  2Eps CMi, 58367, 4.99, 1.01
110.992917,-35.837778,          , 58420, 6.31,-0.15
112.719583,+68.465556,          , 58425, 5.64, 1.11
111.211250,-19.012222,          , 58439, 6.24, 0.29
111.284583,-13.751944,          , 58461, 5.78, 0.42
111.462500, -5.775000,          , 58526, 5.97, 0.92
111.182500,-31.808889,          , 58535, 5.35, 1.07
111.709167,+21.535833,          , 58551, 6.54, 0.46
111.616250,+10.608333,          , 58552, 6.37, 0.09
111.734583,+20.257222, 61    Gem, 58579, 5.93, 0.30
111.514583, -4.537500,          , 58580, 6.76,-0.01
111.332917,-21.982778,          , 58585, 6.05, 0.23
111.672083,+11.009167,          , 58599, 6.41,-0.13
111.355417,-25.217778,          , 58612, 5.78,-0.10
111.196667,-37.290000,          , 58634, 6.97, 0.22
111.197083,-37.290833,          , 58635, 6.84, 0.27
112.215000,+48.183889,          , 58661, 5.72,-0.10
111.787500, +8.289444,  3Bet CMi, 58715, 2.90,-0.09
111.935000,+21.445000, 63    Gem, 58728, 5.22, 0.39
111.429167,-31.738611,          , 58766, 6.31,-0.17
101.744583,-87.025000,          , 58805, 6.47, 0.42
112.483333,+49.672500, 22    Lyn, 58855, 5.36, 0.45
111.669583,-23.712222,          , 58907, 6.56, 0.01
112.008750, +6.941944,  5Eta CMi, 58923, 5.25, 0.22
112.277917,+31.784444, 62Rho Gem, 58946, 4.18, 0.32
111.783333,-17.864444,          , 58954, 5.63, 0.32
112.040833, +8.925556,  4Gam CMi, 58972, 4.32, 1.43
111.747500,-23.086111,          , 58978, 5.61,-0.13
111.676250,-34.140833,          , 59026, 5.90,-0.17
112.335000,+28.118056, 64    Gem, 59037, 5.05, 0.11
112.197083,+15.109444,          , 59059, 6.22,-0.05
111.965417,-11.556944,          , 59067, 5.79, 0.58
111.928750,-22.859722,          , 59136, 5.95,-0.09
112.452917,+27.916111, 65    Gem, 59148, 5.01, 1.11
111.591250,-51.018333,          , 59219, 5.10, 1.06
111.996667,-29.155833,          , 59256, 5.54,-0.08
112.449167,+12.006667,  6    CMi, 59294, 4.54, 1.28
112.327917, -1.905278,          , 59311, 5.59, 1.50
112.357083, -7.551111,          , 59380, 5.86, 0.48
112.342083,-10.326667,          , 59381, 5.75, 1.62
112.341250,-14.999167,          , 59438, 6.05, 0.47
112.095000,-37.810278,          , 59466, 6.58, 0.06
112.213750,-31.848333,          , 59499, 6.38,-0.17
112.982083,+38.896389,          , 59507, 6.54, 0.07
112.270417,-31.456389,          , 59550, 5.77,-0.19
112.464167,-23.024444,          , 59612, 4.85, 0.23
112.273750,-38.812222,          , 59635, 5.43,-0.16
112.712917, -5.226389,          , 59669, 6.24, 1.18
112.951667,+17.086111,          , 59686, 5.42, 1.13
112.307500,-43.301389,   Sig Pup, 59717, 3.25, 1.51
113.210833,+22.887778,          , 59878, 6.54, 1.01
113.024583, +1.914444,  7Del1CMi, 59881, 5.25, 0.22
112.677083,-30.962222,          , 59890, 4.65, 0.93
112.676667,-37.339722,          , 59967, 6.65, 0.63
113.024167, -8.880833,          , 59984, 5.90, 0.54
112.498333,-52.651111,          , 60060, 5.87, 1.01
112.857500,-36.152778,          , 60098, 6.68,-0.12
113.402083,+15.826667, 68    Gem, 60107, 5.25, 0.05
113.298333, +3.290278,  8Del2CMi, 60111, 5.59, 0.31
112.213750,-64.510000,          , 60150, 6.39, 1.56
112.928333,-35.887778,          , 60168, 6.61,-0.08
113.650000,+31.888611, 66Alp Gem, 60178, 2.88, 0.04
113.650000,+31.888333, 66Alp Gem, 60179, 1.98, 0.03
112.628750,-54.399444,          , 60228, 5.96, 1.56
113.521250,+10.568333,          , 60275, 6.28,-0.01
114.195833,+55.755278,          , 60294, 5.92, 1.12
113.092917,-35.961389,          , 60312, 6.30,-0.10
113.786250,+30.961111,          , 60318, 5.33, 1.01
113.342083,-14.338333,          , 60325, 6.21,-0.04
113.983333,+43.031111,          , 60335, 6.30,
113.331250,-19.412500,          , 60341, 5.66, 1.12
113.290417,-24.710833,          , 60345, 5.85, 0.17
113.565833, +3.371389,  9Del3CMi, 60357, 5.81,-0.02
113.449583,-14.523889,          , 60414, 4.97, 1.41
114.131667,+46.180278,          , 60437, 5.65, 1.56
113.691667, +2.725000,          , 60489, 6.55, 0.22
113.980417,+26.895833, 69Ups Gem, 60522, 4.06, 1.54
113.513333,-22.296111,          , 60532, 4.45, 0.51
113.306250,-40.058889,          , 60559, 6.26,-0.12
113.305417,-43.086389,          , 60574, 6.52, 0.92
113.577500,-23.473611,          , 60584, 5.83, 0.44
113.579583,-23.474722,          , 60585, 5.87,
113.462500,-36.338333,          , 60606, 5.54,-0.06
113.620000,-26.116667,          , 60629, 6.65,-0.01
113.553333,-33.463333,          , 60646, 6.11, 0.29
114.474583,+48.773611,          , 60652, 5.92, 0.22
114.324167,+40.025278,          , 60654, 6.38,
113.645417,-27.011944,          , 60666, 5.77, 1.06
113.493750,-39.905833,          , 60686, 6.76, 1.13
114.144583, +5.861667,          , 60803, 5.91, 0.60
111.408333,-79.094167,   Eps Men, 60816, 5.53, 1.28
114.069167, -8.311389,          , 60853, 6.27, 1.54
114.016250,-14.492778,          , 60855, 5.70,-0.12
113.845000,-28.369444,          , 60863, 4.64,-0.11
114.032500,-22.160556,          , 60951, 6.34, 0.99
114.636667,+35.048611, 70    Gem, 60986, 5.56, 0.93
113.664583,-51.474722,          , 61031, 6.28, 0.08
114.560417,+24.360278,          , 61035, 6.27,
114.319583, -4.111111, 25    Mon, 61064, 5.13, 0.44
114.170833,-19.702222,          , 61068, 5.74,-0.19
115.206250,+57.082778, 23    Lyn, 61106, 6.06, 1.46
114.791250,+34.584167, 71Omi Gem, 61110, 4.90, 0.40
114.799583,+24.222500,          , 61219, 6.17, 0.01
114.412083,-14.441111,          , 61224, 6.53,-0.01
